Days CO,Days NO2,Days Ozone,Days PM2.5,Year
0,11,94,260,2021
0,24,82,260,2020
0,19,130,216,2019
1,35,114,215,2018
0,22,114,229,2017
0,24,103,239,2016
1,20,105,239,2015
1,25,125,213,2014
1,0,133,230,2013
0,0,133,232,2012
0,0,133,232,2011
2,0,113,248,2010
0,9,62,294,2009
0,12,53,301,2008
0,13,81,271,2007
0,12,66,287,2006
0,22,87,255,2005
0,24,97,244,2004
1,33,87,243,2003
1,42,83,238,2002
0,63,72,221,2001
0,43,103,219,2000
7,51,114,185,1999
25,153,172,0,1998
26,184,147,0,1997
7,208,148,0,1996
70,125,160,0,1995
17,131,158,0,1994
0,103,220,0,1993
10,224,123,0,1992
